Brand,Year,Kilometers_Driven,Fuel_Type,Transmission,Price
Toyota,2018,50000,Petrol,Manual,30400
Honda,2019,40000,Petrol,Automatic,38000
Ford,2017,20000,Petrol,Automatic,95000
Maruti,2020,30000,Diesel,Manual,22800
Hyundai,2016,60000,Diesel,Automatic,32300
Tata,2019,35000,Petrol,Manual,28500
Mahindra,2018,45000,Diesel,Automatic,34200
Volkswagen,2020,25000,Petrol,Automatic,24700
Audi,2017,30000,Diesel,Automatic,83600
BMW,2019,20000,Diesel,Automatic,102600
Mercedes,2018,28000,Petrol,Automatic,87400
Ford,2017,35000,Diesel,Automatic,76000
Hyundai,2019,22000,Petrol,Manual,32300
Tata,2018,40000,Diesel,Automatic,60800
Maruti,2020,18000,Petrol,Manual,34000
Honda,2017,42000,Diesel,Manual,24700
Volkswagen,2018,32000,Diesel,Automatic,68400
Audi,2016,38000,Petrol,Automatic,72200
BMW,2019,24000,Diesel,Automatic,114000
Mercedes,2017,26000,Petrol,Automatic,95000
Toyota,2018,50000,Diesel,Manual,53200
Ford,2020,15000,Petrol,Manual,22000
Hyundai,2019,26000,Diesel,Automatic,32300
Tata,2020,18000,Petrol,Manual,24000
Mahindra,2021,10000,Diesel,Manual,48000
Volkswagen,2017,32000,Diesel,Automatic,60800
Audi,2018,28000,Petrol,Automatic,121600
BMW,2019,22000,Diesel,Automatic,106400
Mercedes,2017,30000,Diesel,Automatic,102600
Toyota,2018,38000,Diesel,Automatic,95000
Ford,2019,26000,Petrol,Manual,22800
Hyundai,2017,32000,Diesel,Automatic,30400
Tata,2018,42000,Diesel,Manual,49400
Maruti,2019,24000,Petrol,Manual,26600
Honda,2018,28000,Diesel,Manual,28500
Volkswagen,2020,15000,Petrol,Automatic,20000
Audi,2017,38000,Petrol,Automatic,76000
BMW,2019,22000,Diesel,Automatic,133000
Mercedes,2018,26000,Petrol,Automatic,152000
Toyota,2020,18000,Petrol,Manual,26000
Ford,2017,38000,Diesel,Manual,57000
Hyundai,2019,26000,Petrol,Manual,17100
Tata,2018,42000,Diesel,Manual,19000
Maruti,2020,15000,Petrol,Automatic,28000
Honda,2018,28000,Diesel,Manual,32300
Volkswagen,2019,22000,Petrol,Automatic,60800
Audi,2017,30000,Diesel,Automatic,114000
BMW,2018,28000,Petrol,Automatic,121600
Mercedes,2019,24000,Diesel,Automatic,91200
Toyota,2016,38000,Petrol,Automatic,68400
Ford,2019,22000,Petrol,Automatic,102600
Hyundai,2018,32000,Petrol,Manual,20900
Tata,2020,18000,Petrol,Manual,20000
Mahindra,2019,26000,Diesel,Manual,26600
Volkswagen,2017,32000,Petrol,Manual,24700
Audi,2018,28000,Diesel,Automatic,98800
BMW,2020,15000,Petrol,Automatic,112000
Mercedes,2019,22000,Diesel,Automatic,110200
Toyota,2017,38000,Diesel,Manual,53200
Ford,2018,26000,Petrol,Manual,28500
Hyundai,2019,24000,Petrol,Automatic,32300
Tata,2020,18000,Petrol,Manual,24000
Mahindra,2021,10000,Diesel,Manual,48000
Volkswagen,2017,32000,Diesel,Automatic,60800
Audi,2018,28000,Petrol,Automatic,121600
BMW,2019,22000,Diesel,Automatic,106400
Mercedes,2017,30000,Diesel,Automatic,102600
Toyota,2018,38000,Diesel,Automatic,95000
Ford,2019,26000,Petrol,Manual,22800
Hyundai,2017,32000,Diesel,Automatic,30400
Tata,2018,42000,Diesel,Manual,49400
Maruti,2019,24000,Petrol,Manual,26600
Honda,2018,28000,Diesel,Manual,28500
Volkswagen,2020,15000,Petrol,Automatic,20000
Audi,2017,38000,Petrol,Automatic,76000
BMW,2019,22000,Diesel,Automatic,133000
Mercedes,2018,26000,Petrol,Automatic,152000
Toyota,2020,18000,Petrol,Manual,26000
Ford,2017,38000,Diesel,Manual,57000
Hyundai,2019,26000,Petrol,Manual,17100
Tata,2018,42000,Diesel,Manual,19000
Maruti,2020,15000,Petrol,Automatic,28000
Honda,2018,28000,Diesel,Manual,32300
Volkswagen,2019,22000,Petrol,Automatic,60800
Audi,2017,30000,Diesel,Automatic,114000
BMW,2018,28000,Petrol,Automatic,121600
Mercedes,2019,24000,Diesel,Automatic,91200
Toyota,2016,38000,Petrol,Automatic,68400
Ford,2019,22000,Petrol,Automatic,102600
Hyundai,2018,32000,Petrol,Manual,20900
Tata,2020,18000,Petrol,Manual,20000
Mahindra,2019,26000,Diesel,Manual,26600
Volkswagen,2017,32000,Petrol,Manual,24700
Audi,2018,28000,Diesel,Automatic,98800
BMW,2020,15000,Petrol,Automatic,112000
Mercedes,2019,22000,Diesel,Automatic,110200
Toyota,2017,38000,Diesel,Manual,53200
Ford,2018,26000,Petrol,Manual,28500
Hyundai,2019,24000,Petrol,Automatic,32300
Tata,2020,18000,Petrol,Manual,24000
